Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate
1476 SHAKESPEARE AVENUE,BRONX,04 BRONX,Precinct 44,16,04/20/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1006416,246736
1477 3 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,5,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,10/08/2010 07:00 AM +0000,996655,222408
1477 EAST 89 STREET,BROOKLYN,18 BROOKLYN,Precinct 69,46,07/19/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1013017,168975
1477 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,18,06/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1021771,244267
1477 WEBSTER AVENUE,BRONX,04 BRONX,Precinct 44,16,01/25/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2011 07:00 AM +0000,1010143,244528
1478 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,17,09/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,1017131,241113
1478 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,17,08/12/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1017131,241113
1479 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/15/2010 08:00 AM +0000,997105,220221
1479 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,05/21/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/29/2011 07:00 AM +0000,997105,220221
148 BAXTER STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,04/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/26/2011 07:00 AM +0000,984710,201284
148 BAY RIDGE AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,03/16/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2011 07:00 AM +0000,975840,171372
148 BOWERY,MANHATTAN,02 MANHATTAN,Precinct 5,1,05/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/05/2011 07:00 AM +0000,985777,201320
148 CLASSON AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,11/05/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/04/2011 08:00 AM +0000,994946,192651
148 EAST BURNSIDE AVENUE,BRONX,05 BRONX,Precinct 46,14,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Owner refused.,10/25/2010 07:00 AM +0000,1010634,249863
148 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/24/2010 07:00 AM +0000,988191,201340
148 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,02/27/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2011 07:00 AM +0000,988191,201340
148 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,11/26/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2010 08:00 AM +0000,988239,201806
148 WEST 142 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/26/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/10/2011 07:00 AM +0000,,
148 WEST 83 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6,02/23/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/04/2011 07:00 AM +0000,991172,225318
148-01 34 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,04/07/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1034663,218992
148-05 34 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,02/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/21/2011 07:00 AM +0000,1034669,218993
148-25 94 AVENUE,QUEENS,12 QUEENS,Precinct 103,27,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/17/2010 08:00 AM +0000,1038396,194309
148-30 94 AVENUE,QUEENS,12 QUEENS,Precinct 103,27,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2010 08:00 AM +0000,1038419,194314
148-42 89 AVENUE,QUEENS,12 QUEENS,Precinct 103,24,09/24/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2010 07:00 AM +0000,1037696,195906
148-60 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1037446,196616
148-64 HILLSIDE AVENUE,QUEENS,12 QUEENS,Precinct 103,24,08/11/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1037448,196616
1480 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2010 08:00 AM +0000,997111,220218
1481 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,04/28/2011 07:00 AM +0000,996450,220584
1481 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,02/23/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/06/2011 07:00 AM +0000,1000309,187022
1481 LELAND AVENUE,BRONX,09 BRONX,Precinct 43,18,06/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1021768,244291
1482 ST PETERS AVENUE,BRONX,10 BRONX,Precinct 45,13,04/07/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1026832,245194
1483 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,03/28/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/24/2011 07:00 AM +0000,997131,220267
1483 YORK AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/27/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997913,220206
1484 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,10/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Owner refused.,12/07/2010 08:00 AM +0000,998239,170495
1484 JEROME AVENUE,BRONX,04 BRONX,Precinct 44,14,10/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,01/05/2011 08:00 AM +0000,1007358,246015
1485 EAST 16 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,48,04/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/29/2011 07:00 AM +0000,995837,162876
1486 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,10/27/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/07/2010 08:00 AM +0000,998251,170479
1486 LEXINGTON AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,05/09/2011 07:00 AM +0000,,
1487 BROADWAY,BROOKLYN,04 BROOKLYN,Precinct 83,37,06/10/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1006922,189705
1487 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,07/28/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1000353,187019
1489 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,07/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997169,220337
1489 2 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4,02/01/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/25/2011 07:00 AM +0000,996501,220676
1489 BEACH AVENUE,BRONX,09 BRONX,Precinct 43,18,02/15/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2011 07:00 AM +0000,1020970,244509
149 4 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,33,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/31/2011 07:00 AM +0000,989331,186804
149 EAST 121 STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,,
149 GREEN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,06/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/26/2011 07:00 AM +0000,996486,206569
149 JEROME STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,10/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/18/2011 08:00 AM +0000,1015308,186444
149 MILFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,01/04/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/18/2011 08:00 AM +0000,1018235,185640
149 MILFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37,07/21/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1018235,185640
149 WEST 27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,3,04/14/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/20/2011 07:00 AM +0000,986345,211083
149-01 95 AVENUE,QUEENS,12 QUEENS,Precinct 103,27,09/28/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2010 08:00 AM +0000,1038617,194129
149-01 JAMAICA AVENUE,QUEENS,12 QUEENS,Precinct 103,24,09/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/01/2010 07:00 AM +0000,1038219,195067
149-09 41 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,11/04/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/20/2010 08:00 AM +0000,1035355,217010
149-11A 41 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,10/23/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2010 08:00 AM +0000,1035369,217015
149-11A 41 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,02/07/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1035369,217015
149-25 ROCKAWAY BEACH BOULEVARD,QUEENS,14 QUEENS,Precinct 100,32,07/31/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1021846,146624
1490 EAST 35 STREET,BROOKLYN,18 BROOKLYN,Precinct 63,46,05/26/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1000561,164246
1490 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,03/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,1014635,242872
1490 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,05/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,1014635,242872
1491 SACKETT AVENUE,BRONX,Unspecified BRONX,Unspecified,,03/09/2011 08:00 AM +0000,Open,Unspecified,,,
1492 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/27/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997187,220357
1493 FIRST AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,07/02/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,997194,220383
1493 ZEREGA AVENUE,BRONX,10 BRONX,Precinct 45,13,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1026234,244570
1495 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/07/2011 07:00 AM +0000,1003043,249549
1498 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2010 08:00 AM +0000,997252,220474
1498 BASSETT AVENUE,BRONX,Unspecified BRONX,Unspecified,,03/09/2011 08:00 AM +0000,Open,Unspecified,,,
1498 EAST 172 STREET,BRONX,09 BRONX,Precinct 43,17,10/21/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2010 08:00 AM +0000,1017221,242082
1498 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,06/16/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/23/2011 07:00 AM +0000,1014661,242930
15 AVENUE D,MANHATTAN,03 MANHATTAN,Precinct 9,2,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/10/2011 07:00 AM +0000,990240,201762
15 BAY 29 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,10/08/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2010 07:00 AM +0000,985623,158584
15 C AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2,08/08/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989521,202022
15 CENTRAL AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,49,10/11/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/20/2010 08:00 AM +0000,962916,172934
15 COOPER STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7,10/12/2010 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,11/19/2010 08:00 AM +0000,1005060,255302
15 DOWNING STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,02/10/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/06/2011 07:00 AM +0000,983423,205076
15 DOYERS STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,02/20/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/08/2011 07:00 AM +0000,984769,199609
15 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,16,07/01/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/27/2011 07:00 AM +0000,1007890,247393
15 HURON STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,02/11/2011 08:00 AM +0000,Open,Unspecified,,994974,206128
15 HURON STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,06/08/2011 07:00 AM +0000,Open,Unspecified,,994974,206128
15 KING STREET,MANHATTAN,02 MANHATTAN,Precinct 1,3,05/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2011 07:00 AM +0000,983262,204401
15 LEROY STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,05/11/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/30/2011 07:00 AM +0000,983305,205504
15 MEADOW STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,02/17/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/31/2011 07:00 AM +0000,1001827,198192
15 PORTAL STREET,BROOKLYN,08 BROOKLYN,Precinct 77,41,04/07/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/18/2011 07:00 AM +0000,1005127,182511
15 SALAMANDER COURT,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,05/17/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/06/2011 07:00 AM +0000,922074,135364
15 WADSWORTH AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,05/04/2011 07:00 AM +0000,Closed,Cleaning crew dispatched. No graffiti on property.,06/10/2011 07:00 AM +0000,1001304,247190
15 WAVERLY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,1,04/19/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/27/2011 07:00 AM +0000,985816,205282
15-03 126 STREET,QUEENS,07 QUEENS,Precinct 109,19,01/11/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1027968,225190
15-15 119 STREET,QUEENS,07 QUEENS,Precinct 109,19,06/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1026196,224934
15-22 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/13/2011 07:00 AM +0000,Open,Unspecified,,1028215,225260
15-24 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/13/2011 07:00 AM +0000,Open,Unspecified,,1028215,225260
15-24 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,07/14/2011 07:00 AM +0000,Open,Unspecified,,1028215,225260
15-26 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,03/09/2011 08:00 AM +0000,Open,Unspecified,,1028215,225259
15-26 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/13/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-26 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,06/28/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-26 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,07/14/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-28 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/13/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-28 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,06/28/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-28 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,07/14/2011 07:00 AM +0000,Open,Unspecified,,1028215,225259
15-30 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,07/13/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1028215,225258
15-40 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/12/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1028215,225256
15-45 128 STREET,QUEENS,07 QUEENS,Precinct 109,19,05/05/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/27/2011 07:00 AM +0000,1028467,225148
15-49 HASSOCK STREET,QUEENS,14 QUEENS,Precinct 101,31,10/16/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,12/02/2010 08:00 AM +0000,1052793,161176
15-51 HASSOCK STREET,QUEENS,14 QUEENS,Precinct 101,31,10/22/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2010 07:00 AM +0000,1052788,161183
15-58 127 STREET,QUEENS,07 QUEENS,Precinct 109,19,04/13/2011 07:00 AM +0000,Open,Unspecified,,1028215,225252
15-68 150 PLACE,QUEENS,07 QUEENS,Precinct 109,19,11/22/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1036558,225687
150 DREISER LOOP,BRONX,10 BRONX,Precinct 45,12,04/15/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/22/2011 07:00 AM +0000,1031253,258612
150 EAST 188 STREET,BRONX,05 BRONX,Precinct 46,15,06/01/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1012337,253222
150 EAST 2 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,12/03/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/01/2011 07:00 AM +0000,988312,202629
150 EAST 3 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,09/14/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/27/2010 07:00 AM +0000,988424,202866
150 EAST 91 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5,05/12/2011 07:00 AM +0000,Open,Site to be cleaned.,,997313,224364
150 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,09/15/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/23/2010 07:00 AM +0000,985613,201701
150 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,11/02/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/15/2010 08:00 AM +0000,987812,201802
150 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,16,08/10/2011 07:00 AM +0000,Open,Unspecified,,1006035,247584
150 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,08/18/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000028,196755
150 KING STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,09/14/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/21/2011 07:00 AM +0000,980849,186582
150 LIBERTY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,37,05/23/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/07/2011 07:00 AM +0000,1010703,184551
150 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,07/15/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,999504,197152
150 MANHATTAN AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8,03/18/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/19/2011 07:00 AM +0000,995035,230458
150 NORTH 5 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,03/22/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,05/11/2011 07:00 AM +0000,995747,200311
150 NORTH 5 STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34,07/28/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,995747,200311
150 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,01/31/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/15/2011 07:00 AM +0000,988214,201331
150 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2010 08:00 AM +0000,1005482,254287
150 STANTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,04/12/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,06/03/2011 07:00 AM +0000,988262,201797
150 THOMPSON STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,07/14/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,983978,204086
150 WEST KINGSBRIDGE ROAD,BRONX,Unspecified BRONX,Unspecified,14,05/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1010773,256259
150 WOOSTER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,09/17/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,09/20/2010 07:00 AM +0000,984358,203758
150 WOOSTER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,10/24/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/16/2010 08:00 AM +0000,984358,203758
150 WOOSTER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,06/02/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2011 07:00 AM +0000,984358,203758
150 WOOSTER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1,07/25/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,984358,203758
150-01 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,28,11/01/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2011 08:00 AM +0000,1041436,189402
150-04 BEAVER ROAD,QUEENS,12 QUEENS,Precinct 103,27,08/12/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1038959,194105
150-05 12 AVENUE,QUEENS,07 QUEENS,Precinct 109,19,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/24/2010 08:00 AM +0000,1035711,227454
150-06 BEAVER ROAD,QUEENS,12 QUEENS,Precinct 103,27,08/12/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1038960,194110
150-09 12 ROAD,QUEENS,07 QUEENS,Precinct 109,19,10/13/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,10/28/2010 07:00 AM +0000,1035834,227115
150-09 BAYSIDE AVENUE,QUEENS,07 QUEENS,Precinct 109,19,07/06/2011 07:00 AM +0000,Open,Site downloaded for cleaning,,1035354,220420
150-27 41 AVENUE,QUEENS,07 QUEENS,Precinct 109,20,12/03/2010 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2011 08:00 AM +0000,1035837,217255
150-49 BAYSIDE AVENUE,QUEENS,07 QUEENS,Precinct 109,19,08/02/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1035786,220433
150-60 NORTHERN BOULEVARD,QUEENS,07 QUEENS,Precinct 109,20,09/30/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/12/2010 08:00 AM +0000,1035887,218085
1500 3 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,06/03/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2011 07:00 AM +0000,996794,222672
1500 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 14,3,05/13/2011 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,07/20/2011 07:00 AM +0000,988128,215025
1500 CASTLE HILL AVENUE,BRONX,10 BRONX,Precinct 45,18,01/13/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2011 08:00 AM +0000,1025144,244053
1500 PELHAM PARKWAY SOUTH,BRONX,11 BRONX,Precinct 49,13,07/22/2011 07:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1027646,251554
1501 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,10/07/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/19/2010 08:00 AM +0000,997271,220520
1501 1 AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,04/27/2011 07:00 AM +0000,Open,Site to be cleaned.,,997271,220520
1501 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,39,01/28/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,03/25/2011 07:00 AM +0000,989162,180478
1501 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,10/25/2010 07:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2010 08:00 AM +0000,994509,170294
1501 STILLWELL AVENUE,BRONX,11 BRONX,Precinct 49,13,03/09/2011 08:00 AM +0000,Closed,Cleaning crew dispatched.  Property cleaned.,04/29/2011 07:00 AM +0000,1027713,250243
1501 THIRD AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5,04/25/2011 07:00 AM +0000,Open,Unspecified,,996810,222687
1501 WYCKOFF AVENUE,QUEENS,Unspecified QUEENS,Unspecified,,06/13/2011 07:00 AM +0000,Open,Unspecified,,,
