OBJECTID,Shape,NAME,URL,LINE
675,"(40.66243833200008, -73.90877300099993)",Rockaway Ave & Livonia Ave At Se Corner,http://www.mta.info/nyct/service/,3-4
676,"(40.66331533500005, -73.90281199999993)",Powell St & Livonia Ave At Sw Corner,http://www.mta.info/nyct/service/,3-4
677,"(40.66339833400008, -73.90247499899993)",Powell St & Livonia Ave At Sw Corner,http://www.mta.info/nyct/service/,3-4
678,"(40.679163859000084, -73.92187026699992)",Ralph Ave & Mac Dougal St At Ne Corner,http://www.mta.info/nyct/service/,A-C
679,"(40.67898433400006, -73.92144199899991)",Ralph Ave & Fulton St At Ne Corner,http://www.mta.info/nyct/service/,A-C
680,"(40.67846033500007, -73.91097099899991)",Rockaway Ave & Fulton St At Nw Corner,http://www.mta.info/nyct/service/,A-C
681,"(40.68930033300006, -73.92142400099993)",Palmetto St & Broadway At Nw Corner,http://www.mta.info/nyct/service/,J-Z
682,"(40.68674233200005, -73.91746699999993)",Jefferson Ave & Broadway At Se Corner,http://www.mta.info/nyct/service/,J
683,"(40.68995733200006, -73.92309699999993)",Linden St & Broadway At Sw Corner,http://www.mta.info/nyct/service/,J-Z
684,"(40.685874854000076, -73.91587267199992)",Weirfield St & Broadway At Se Corner,http://www.mta.info/nyct/service/,J
685,"(40.682668334000084, -73.90971000099995)",Chauncey St & Broadway At Ne Corner,http://www.mta.info/nyct/service/,J-Z
686,"(40.67565759900003, -73.90267063699991)",Snediker Ave & New York Ave At Sw Corner,http://www.mta.info/nyct/service/,L
687,"(40.67539433400009, -73.90263499799994)",Snediker Ave & New York Ave At Sw Corner,http://www.mta.info/nyct/service/,L
688,"(40.67683433500008, -73.89917999999994)",Georgia Av & Fulton St At Sw Corner,http://www.mta.info/nyct/service/,J
689,"(40.67428533200007, -73.89629400099994)",Pennsylvania Ave & Liberty Ave At Se Corner,http://www.mta.info/nyct/service/,A-C
690,"(40.67456533300009, -73.89633100099991)",Pennsylvania Ave & Liberty Ave At Ne Corner,http://www.mta.info/nyct/service/,A-C
691,"(40.66570833500003, -73.88862600099992)",Van Siclen Ave & Livonia Ave At Nw Corner,http://www.mta.info/nyct/service/,3-4
692,"(40.672878333000085, -73.89045999699994)",Van Siclen Ave & Pitkin Ave At Nw Corner,http://www.mta.info/nyct/service/,A-C
693,"(40.672867333000056, -73.89024999999992)",Van Siclen Ave & Pitkin Ave At Ne Corner,http://www.mta.info/nyct/service/,A-C
694,"(40.67396133200003, -73.88086800099995)",Shepherd Ave & Pitkin Ave At Nw Corner,http://www.mta.info/nyct/service/,A-C
695,"(40.67426433500009, -73.88093499999991)",Shepherd Ave & Pitkin Ave At Sw Corner,http://www.mta.info/nyct/service/,A-C
696,"(40.67429333200005, -73.88074699899994)",Shepherd Ave & Pitkin Ave At Ne Corner,http://www.mta.info/nyct/service/,A-C
697,"(40.68180633500003, -73.87900900099993)",Norwood Ave & Fulton St At Ne Corner,http://www.mta.info/nyct/service/,J-Z
698,"(40.675262333000035, -73.87178199899995)",Euclid Ave & Pitkin Ave At Se Corner,http://www.mta.info/nyct/service/,A-C-S
699,"(40.675530334000086, -73.87175799899995)",Euclid Ave & Pitkin Ave At Ne Corner,http://www.mta.info/nyct/service/,A-C-S
700,"(40.68340733300005, -73.8727699989999)",Pine St & Fulton St At Se Corner,http://www.mta.info/nyct/service/,J-Z
701,"(40.69891033500005, -73.91870899999992)",Myrtle Ave & Greene Ave At Se Corner,http://www.mta.info/nyct/service/,M
702,"(40.704326334000086, -73.91945199899993)",Dekalb Ave & Wycoff Ave At Sw Corner,http://www.mta.info/nyct/service/,L
703,"(40.704391333000046, -73.91904499799995)",Dekalb Ave & Wycoff Ave At Ne Corner,http://www.mta.info/nyct/service/,L
704,"(40.70325933300006, -73.91773199799991)",Stanhope St & Wycoff Ave At Se Corner,http://www.mta.info/nyct/service/,L
705,"(40.70355033300007, -73.91774699899992)",Stanhope St & Wycoff Ave At Nw Corner,http://www.mta.info/nyct/service/,L
706,"(40.70711133300006, -73.92391099999992)",Jefferson St & Wyckoff Ave At Sw Corner,http://www.mta.info/nyct/service/,L
707,"(40.70604933300007, -73.92229899999995)",Starr St & Wyckoff Ave At Sw Corner,http://www.mta.info/nyct/service/,L
708,"(40.706305333000046, -73.92206399899993)",Starr St & Wyckoff Ave At Nw Corner,http://www.mta.info/nyct/service/,L
709,"(40.704500334000045, -73.90220899799994)",Forest Ave & Myrtle Ave At Sw Corner,http://www.mta.info/nyct/service/,M
710,"(40.67842957100004, -73.90381712899995)",Fulton St & Van Sinderen Ave At Sw Corner,http://www.mta.info/nyct/service/,A-C-J-Z-L
711,"(40.68225204300006, -73.90505924999991)",De Sales Pl & Bushwick Ave At Nw Corner,http://www.mta.info/nyct/service/,L
712,"(40.74171133300007, -73.88106399999992)",Elmhurst Ave & Broadway At Se Corner,http://www.mta.info/nyct/service/,E-M-R
713,"(40.760014632000036, -73.82868057299993)",Main St & Roosevelt Ave At Ne Corner,http://www.mta.info/nyct/service/,7-7 Express
714,"(40.75488107600006, -73.84537620999993)",126th St & Roosevelt Ave At Nw Corner,http://www.mta.info/nyct/service/,7-7 Express
715,"(40.75472094200006, -73.84620114699993)",126th St & Roosevelt Ave At Nw Corner,http://www.mta.info/nyct/service/,7-7 Express
716,"(40.74188156100007, -73.88143286799993)",Elmhurst Ave & Broadway At Sw Corner,http://www.mta.info/nyct/service/,E-M-R
717,"(40.72972232800004, -73.8619903259999)",63rd Dr & Queens Blvd At Sw Corner,http://www.mta.info/nyct/service/,E-M-R
718,"(40.728958126000066, -73.85967224899991)",64th Rd & Queens Blvd At Se Corner,http://www.mta.info/nyct/service/,E-M-R
719,"(40.73003657600009, -73.8626019859999)",63rd Rd & Queens Blvd At Sw Corner,http://www.mta.info/nyct/service/,E-M-R
720,"(40.69512324800007, -73.84332306099992)",104th St & Jamaica Ave At Se Corner,http://www.mta.info/nyct/service/,J-Z
721,"(40.701657881000074, -73.80248464399995)",158th St & Archer Ave At Sw Corner,http://www.mta.info/nyct/service/,E-J-Z
722,"(40.70286887100008, -73.79984883999992)",Parsons Blvd & Archer Ave At Ne Corner,http://www.mta.info/nyct/service/,E-J-Z
723,"(40.70820908400009, -73.9582281619999)",Marcy Ave & Broadway At Sw Corner (To Queens And Canarsie Only),http://www.mta.info/nyct/service/,J-M-Z
724,"(40.69614218000004, -73.90433752899992)",George St & Wycoff Ave At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,L
725,"(40.69583888500006, -73.90546886499993)",Halsey St & Wycoff Ave At Se Corner (To Canarsie Only),http://www.mta.info/nyct/service/,L
726,"(40.68651161100007, -73.97461919699992)",Portland Ave & Fulton Ave At Nw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,A-C
727,"(40.68326813600004, -73.96673679399993)",Clinton Ave & Fulton Ave At Se Corner (To Queens Only),http://www.mta.info/nyct/service/,A-C
728,"(40.680106408000086, -73.94048392699995)",Throop Ave & Fulton St At Nw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,A-C
729,"(40.679045888000076, -73.92985242099991)",Utica Ave & Fulton St At Sw Corner,http://www.mta.info/nyct/service/,A-C
730,"(40.67964109500008, -73.93230739499995)",Stuyvesant Ave & Fulton St At Nw Corner,http://www.mta.info/nyct/service/,A-C
731,"(40.68798820100005, -73.96557301399992)",Washington Ave & Lafayette Ave At Se Corner,http://www.mta.info/nyct/service/,G
732,"(40.688121960000046, -73.96763330699991)",Clinton Ave & Lafayette Ave At Ne Corner,http://www.mta.info/nyct/service/,G
733,"(40.68901478100008, -73.96019797699995)",Classon Ave & Lafayette Ave At Nw Corner,http://www.mta.info/nyct/service/,G
734,"(40.689575113000046, -73.95500775199991)",Bedford Ave & Lafayette Ave At Ne Corner,http://www.mta.info/nyct/service/,G
735,"(40.68930147200007, -73.95522174999991)",Bedford Ave & Lafayette Ave At Sw Corner,http://www.mta.info/nyct/service/,G
736,"(40.70525684000006, -73.95040876799993)",Union Ave & Broadway At Sw Corner,http://www.mta.info/nyct/service/,G
737,"(40.70525669300008, -73.95006852699993)",Union Ave & Broadway At Se Corner,http://www.mta.info/nyct/service/,G
738,"(40.59267200600004, -73.97858263899991)",8th St & 86th St At Se Corner,http://www.mta.info/nyct/service/,N
739,"(40.65523733500004, -73.96165108299994)",Ocean Ave & Parkside Ave At Ne Corner,http://www.mta.info/nyct/service/,B-Q
740,"(40.629570717000036, -73.96185456199993)",15th St & Avenue H At Se Corner,http://www.mta.info/nyct/service/,B-Q
741,"(40.63265183400006, -73.94727231799993)",Nostrand Ave & Flatbush Ave At Ne Corner,http://www.mta.info/nyct/service/,2-5
742,"(40.64990374800004, -73.97585101999994)",Prospect Expwy & Fort Hamilton Pkwy At Nw Corner,http://www.mta.info/nyct/service/,F
743,"(40.63063505200006, -73.97674728999993)",Mcdonald Ave & 18th Ave At Se Corner,http://www.mta.info/nyct/service/,F
744,"(40.615963977000035, -74.03079527199992)",5th Ave & 95th St At Ne Corner,http://www.mta.info/nyct/service/,R
