time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-12T10:09:37.380Z,-21.6748,-179.2312,597.5,5.1,mb,,52.0,4.672,1.0,us,us100088hw,2017-03-12T10:27:54.040Z,"126km SSW of Ndoi Island, Fiji",earthquake,10.9,7.7,0.038,232.0,reviewed,us,us
2017-03-12T09:12:40.400Z,13.3443,-90.8109,56.45,4.8,mb,,145.0,1.5730000000000002,1.33,us,us100088hp,2017-03-12T09:27:11.040Z,"64km S of Puerto San Jose, Guatemala",earthquake,8.8,9.4,0.035,245.0,reviewed,us,us
2017-03-12T05:48:51.660Z,1.9669999999999999,98.9783,139.85,4.5,mb,,97.0,0.7240000000000001,0.71,us,us100088gy,2017-03-12T06:09:18.040Z,"33km NE of Sibolga, Indonesia",earthquake,7.2,2.9,0.1,29.0,reviewed,us,us
2017-03-12T04:03:22.100Z,16.4088,-98.3496,12.35,4.5,mb,,182.0,1.166,0.67,us,us100088gn,2017-03-12T23:05:55.040Z,"9km SE of Cuajinicuilapa, Mexico",earthquake,8.6,6.3,0.031,313.0,reviewed,us,us
2017-03-12T02:14:18.580Z,-2.9445,138.9062,35.0,4.5,mb,,98.0,6.648,0.81,us,us100088gg,2017-03-12T23:24:43.040Z,"189km W of Abepura, Indonesia",earthquake,10.8,2.0,0.107,26.0,reviewed,us,us
2017-03-12T01:26:28.100Z,-4.6816,102.56,51.82,4.7,mb,,96.0,0.507,0.59,us,us100088gf,2017-03-12T23:35:31.040Z,"102km SSE of Bengkulu, Indonesia",earthquake,6.9,6.2,0.073,56.0,reviewed,us,us
2017-03-11T21:39:47.670Z,-12.3393,165.6852,10.0,4.5,mb,,94.0,6.329,0.68,us,us100088ft,2017-03-11T22:27:54.040Z,"180km S of Lata, Solomon Islands",earthquake,11.1,1.9,0.131,17.0,reviewed,us,us
2017-03-11T19:57:46.650Z,37.5229,141.6361,40.32,5.4,mb,,135.0,0.755,1.02,us,us100088fi,2017-03-12T04:33:44.918Z,"56km E of Namie, Japan",earthquake,3.4,8.1,0.095,38.0,reviewed,us,us
2017-03-11T18:48:41.090Z,30.994,130.3956,139.21,5.3,mww,,28.0,0.516,0.91,us,us100088fc,2017-03-14T14:52:35.250Z,"31km SSE of Makurazaki, Japan",earthquake,5.8,3.7,0.055,32.0,reviewed,us,us
2017-03-11T17:10:38.680Z,-30.5136,-177.5283,22.0,5.6,mww,,62.0,1.311,0.71,us,us100088f7,2017-03-14T14:10:12.942Z,"142km SSE of Raoul Island, New Zealand",earthquake,7.5,1.8,0.062,25.0,reviewed,us,us
2017-03-11T14:04:50.520Z,-6.7979,130.3182,124.09,5.2,mb,,73.0,1.526,1.36,us,us100088eu,2017-03-11T16:06:40.726Z,"168km NW of Saumlaki, Indonesia",earthquake,6.7,4.6,0.098,34.0,reviewed,us,us
2017-03-11T12:53:41.920Z,23.5082,-44.9967,10.0,4.9,mb,,131.0,20.881,0.61,us,us100088eq,2017-03-11T13:38:27.040Z,Northern Mid-Atlantic Ridge,earthquake,13.6,1.9,0.045,157.0,reviewed,us,us
2017-03-11T07:02:10.680Z,-4.7719,-105.67200000000001,10.0,5.0,mb,,193.0,23.275,0.66,us,us100088dp,2017-03-11T07:23:24.040Z,Central East Pacific Rise,earthquake,12.6,1.8,0.047,144.0,reviewed,us,us
2017-03-11T07:00:31.600Z,-29.2347,-69.28699999999999,91.79,5.2,mb,,43.0,0.95,1.18,us,us100088dn,2017-03-11T17:01:18.040Z,"117km WSW of Vinchina, Argentina",earthquake,5.9,7.3,0.083,48.0,reviewed,us,us
2017-03-11T03:42:16.750Z,-34.7839,-71.833,42.76,4.9,mb,,70.0,0.239,0.73,us,us100088d4,2017-03-12T14:12:14.434Z,"45km WSW of Santa Cruz, Chile",earthquake,5.0,7.3,0.053,116.0,reviewed,us,us
